year,month,day,time,station,lat,long,depth,water_temperature,salinity,dissolved_oxygen
2022,8,24,8:50,BK1414,35.14722222,129.1694444,18,23.01,32.05,7.68
2022,8,24,9:20,BK1415,35.14805556,129.1405556,13,23.11,31.8,7.55
2022,8,24,9:42,BK1416,35.14611111,129.1263889,10.3,22.58,31.72,7.67
2022,8,23,13:01,BK1417,35.08583333,129.0927778,16.1,23.29,31.81,10.37
2022,8,23,11:13,BK1418,35.0475,129.0458333,25.8,24.38,31.55,8.31
2022,8,23,10:57,BK1419,35.03472222,129.0122222,26,24.16,31.82,8.08
2022,8,23,13:57,BK1420,35.07222222,129.1205556,40,22.61,32.08,9.83
2022,8,23,12:49,BK1421,35.09888889,129.0763889,16,23.06,31.93,9.12
2022,8,23,11:36,BK1422,35.07222222,129.0330556,16,24.49,31.75,8.18
2022,8,23,10:43,BK1423,35.0525,129.0072222,14.8,24.37,31.91,9.32
2022,8,23,8:49,BK1424,35.04833333,129.9883333,12.1,23.88,31.18,10.18
2022,8,23,13:37,BK1425,35.10027778,129.1130556,6.7,22.77,32.08,7.5
2022,8,24,9:56,BK1426,35.13555556,129.1166667,9.2,23.33,29.83,5.74
2022,8,24,9:32,BK1427,35.15916667,129.1352778,5.7,22.87,30.92,6.52
2022,8,24,10:17,BK1428,35.11805556,129.1380556,22.5,23.99,31.34,7.05
2022,8,24,10:08,BK1429,35.13361111,129.1380556,16,23.41,31.11,7.61
2022,8,24,9:02,BK1430,35.13361111,129.155,13.6,22.89,32.13,7.65
