YM,AMD
199901,373.1
199902,374
199903,374.9
199904,375.1
199905,374
199906,370.8
199907,366.6
199908,363.8
199909,365.3
199910,370
199911,372.8
199912,373.8
200001,375.3
200002,376.3
200003,377.1
200004,377.6
200005,375.8
200006,372.1
200007,368.1
200008,365.7
200009,367.5
200010,372
200011,375.2
200012,376.7
200101,377.8
200102,378.8
200103,379.5
200104,379.8
200105,378.8
200106,375.2
200107,370.2
200108,367.8
200109,369.7
200110,374.2
200111,377.6
200112,378.3
200201,379.4
200202,380.5
200203,380.6
200204,381
200205,380.3
200206,376.9
200207,372.7
200208,369.9
200209,371.8
200210,376.9
200211,380
200212,380.9
200301,381.9
200302,382.9
200303,384.1
200304,384.7
200305,383.2
200306,379.4
200307,374.7
200308,372.1
200309,374
200310,378.6
200311,381.4
200312,382.3
200401,384.1
200402,385.6
200403,385.9
200404,386.2
200405,384.9
200406,381.4
200407,376.9
200408,374.1
200409,376.1
200410,380.8
200411,383.7
200412,385.4
200501,386.6
200502,387.5
200503,388.2
200504,387.9
200505,387
200506,384
200507,378.9
200508,376.3
200509,378.3
200510,382.7
200511,386.3
200512,387.5
200601,388.3
200602,389.1
200603,390
200604,391
200605,389.9
200606,386.4
200607,381.8
200608,378.6
200609,380.6
200610,385.2
200611,387.9
200612,389.5
200701,390.5
200702,391
200703,392.2
200704,393
200705,391.7
200706,388.1
200707,383.3
200708,381
200709,383
200710,387.1
200711,390.2
200712,391.6
200801,392.5
200802,393.5
200803,394.6
200804,395.2
200805,393.9
200806,390.5
200807,385.7
200808,382.8
200809,384.8
200810,389.2
200811,392.3
200812,393.7
200901,394.4
200902,395.2
200903,396.4
200904,397
200905,395.4
200906,391.6
200907,387.3
200908,384.9
200909,386.8
200910,391.6
200911,394.9
200912,396
201001,397.1
201002,397.9
201003,398
201004,398.3
201005,397.8
201006,394.8
201007,390.3
201008,387.8
201009,389.5
201010,393.6
201011,396.6
201012,397.6
201101,398.6
201102,399.4
201103,399.8
201104,400.5
201105,400
201106,396.9
201107,392.1
201108,388.8
201109,390.9
201110,395.9
201111,398.6
201112,399.9
201201,401.3
201202,402.2
201203,403.4
201204,404.3
201205,403.2
201206,399.6
201207,394.9
201208,392.2
201209,393.9
201210,398.9
201211,402.3
201212,403.1
201301,404.2
201302,405.3
201303,406
201304,406.8
201305,405.5
201306,401.9
201307,397.9
201308,394.8
201309,396.3
201310,400.8
201311,403.9
201312,405.6
201401,406.6
201402,407.7
201403,409.2
201404,409.1
201405,407.5
201406,404.3
201407,399.3
201408,396.9
201409,398.9
201410,402.6
201411,405.8
201412,407.8
201501,409.2
201502,410.2
201503,410.6
201504,411.1
201505,410
201506,406.3
201507,402
201508,399.2
201509,400.8
201510,405.5
201511,409
201512,410.4
201601,411.4
201602,412.4
201603,413.7
201604,414.2
201605,412.8
201606,409.1
201607,404.5
201608,402.1
201609,404.3
201610,408.8
201611,411.8
201612,413.2
201701,413.5
201702,414.5
201703,415.8
201704,416.3
201705,415.2
201706,412.1
201707,408
201708,405.1
201709,406.1
201710,410.3
201711,414.1
201712,415.7
201801,417.5
201802,417.7
201803,419.4
201804,420.1
201805,416.3
201806,414.13
201807,410.2
201808,406.96
201809,408.85
201810,414.18
201811,417.66
201812,418.41
201901,419
201902,420
201903,421.1
201904,422
201905,420.5
201906,416.8
201907,413.6
201908,411.8
201909,412.8
201910,416.2
201911,419.3
201912,421.2
202001,424.3
202002,423.6
202003,423.5
202004,424.2
202005,423.4
202006,418.5
202007,414.4
202008,413.6
202009,414.8
202010,418.7
202011,421.9
202012,423.6
202101,425.6149736
202102,426.4809245
202103,426.8211267
202104,427.0728904
202105,424.8018463
202106,421.7564077
202107,418.987659
202108,415.575719
202109,416.2594376
202110,421.8938479
202111,425.7460312
202112,426.7087428
202201,427.19
202202,427.57
202203,428.9
202204,430.15
202205,427.31
202206,422.23
202207,419.07
202208,416.92
202209,417.92
202210,424.4
202211,428.88
202212,429.01
