time,water_temperature,nitrate
1966-04-25 14:45,,
1966-11-06 2:10,16.1,
1967-03-09 3:25,1.85,
1967-05-03 14:20,7.9,
1967-06-28 6:30,18.62,
1967-08-20 16:10,27.67,
1967-10-27 5:45,18.1,
1967-12-21 16:55,6.98,
1968-04-12 14:20,4.68,
1968-05-02 12:45,7,
1968-06-14 12:40,14.7,
1968-08-12 17:40,22.19,
1968-10-17 12:45,18,
1968-12-13 13:30,12.5,
1969-02-12 7:40,3.5,
1969-04-11 19:20,4.63,
1969-06-15 21:20,15.19,
1969-08-15 5:30,24.35,
1969-10-08 13:05,19.3,
1969-12-22 3:30,7.8,
1970-04-23 11:45,5.22,
1970-06-11 8:45,12.41,
1970-08-23 15:10,21.2,
1970-10-15 8:00,19.92,
1970-12-07 5:25,9.71,
1971-02-19 12:40,2.42,
1971-04-13 14:45,4.62,
1971-06-12 11:05,13.1,
1971-06-12 12:05,13.1,
1971-08-13 13:10,19.8,
1971-10-19 6:10,17.7,
1971-12-13 12:35,10.54,
1972-02-09 9:35,4.2,
1972-04-09 8:40,5.3,
1972-06-09 8:05,12.34,
1972-08-16 2:05,21.24,
1972-10-09 10:10,19.2,
1973-02-15 17:40,3.11,
1973-04-13 21:50,6.05,
1973-06-06 18:10,14.19,
1973-08-09 9:00,25.62,
1973-10-11 12:20,19.71,
1973-12-09 18:30,10.21,
1974-02-15 17:10,3.05,
1974-04-12 19:40,5.7,
1974-06-14 17:40,13.59,
1974-08-11 8:20,24.58,
1974-10-14 19:35,19.54,
1974-12-22 22:35,9.51,
1975-02-15 13:35,4.98,
1975-04-16 17:30,5.91,
1975-06-07 10:10,12.85,
1975-08-27 15:10,23.32,
1975-10-15 18:15,19.27,
1976-02-12 12:20,2.55,
1976-04-10 13:00,6.22,
1976-06-11 12:00,12.82,
1976-08-22 12:20,21.47,
1976-10-14 14:00,19.1,
1976-12-11 13:00,9.06,
1977-02-08 16:00,1.05,
1977-04-09 14:00,3.46,
1977-06-10 10:20,11.65,
1977-08-10 9:00,21.32,
1977-10-07 9:40,20.99,
1977-12-08 0:00,10.9,
1978-02-18 8:20,3.37,
1978-03-15 8:40,6.52,
1978-04-10 9:00,5.01,
1978-06-07 6:00,11.92,
1978-08-08 11:50,21.31,
1978-10-12 9:20,20,
1978-12-06 10:50,12.41,
1978-12-07 10:50,12.41,
1979-02-12 10:40,5.71,
1979-04-06 15:00,7.18,
1979-06-10 13:50,13.5,
1979-08-07 13:30,23.47,
1979-10-11 8:00,18.64,
1979-12-07 12:10,11.9,
1980-02-12 8:00,2.62,
1980-04-10 13:50,5.42,
1980-06-09 19:05,14.32,
1980-08-06 18:20,21.85,
1980-10-07 15:35,18.74,
1980-12-16 3:05,10.39,
1981-02-14 19:05,2.8,
1981-04-12 12:30,4.55,
1981-06-04 10:15,12,
1981-08-06 8:25,23,
1981-10-11 10:20,17.58,
1981-12-09 19:55,9.71,
1982-02-08 11:50,3.86,
1982-04-06 21:05,6.12,
1982-06-05 11:00,15.92,
1982-08-08 9:35,23.87,
1982-10-06 17:40,20.43,
1982-12-10 10:50,12.59,
1983-02-03 18:10,5.79,
1983-04-08 18:00,8.61,
1983-06-09 19:40,14.54,
1983-08-07 5:20,20.97,
1983-10-09 9:30,20.14,
1983-12-07 5:10,10.82,
1984-02-11 11:40,1.99,
1984-04-08 12:20,5.17,
1984-06-08 14:00,12.97,
1984-08-07 7:00,20.45,
1984-10-06 7:00,19.91,
1984-12-07 11:45,11.49,
1985-02-02 11:30,2.78,
1985-04-09 9:00,4.33,
1985-06-06 6:30,14.05,
1985-08-20 19:00,22.24,
1985-10-21 16:40,17.54,
1985-12-18 17:30,7.35,
1986-02-21 10:15,1.79,
1986-04-13 13:00,4.59,
1986-06-18 12:40,13.53,
1986-08-06 6:50,21.11,
1986-10-16 8:05,17.88,
1986-12-08 17:50,9.68,
1987-02-20 19:20,2.77,
1987-04-27 16:45,6.33,
1987-06-09 12:55,12.17,
1987-08-10 8:25,19.69,
1987-10-12 13:20,19.78,
1987-12-09 13:10,10.65,
1988-02-20 9:40,2.33,
1988-04-04 18:00,5.04,
1988-06-11 17:45,13.05,
1988-08-04 16:00,20.2,
1988-10-07 15:50,20.8,
1988-12-29 12:50,6.05,
1989-02-14 11:00,4.2,
1989-04-06 14:05,7.42,
1989-06-10 15:10,13.85,
1989-08-05 11:55,20.82,
1989-10-13 15:20,20.3,
1990-02-06 14:35,3.99,
1990-04-11 8:20,6.15,
1990-06-04 19:40,11.79,
1990-08-12 15:10,22.4,
1990-10-10 14:40,19.82,
1991-02-08 10:00,4.18,
1991-04-06 17:15,5.4,
1991-06-04 11:20,11.81,
1991-08-06 7:50,20.4,
1991-10-06 10:20,20.29,
1992-02-09 9:10,4.4,
1992-04-03 9:40,6.94,
1992-06-02 18:30,12.32,
1992-08-03 17:50,21.48,
1992-10-06 16:00,20.65,
1993-02-10 13:15,3.49,
1993-04-12 15:40,6.27,
1993-06-07 21:00,16.39,
1993-08-11 18:40,19.52,
1993-10-08 15:15,20.7,
1993-12-06 15:40,10.81,
1994-02-14 15:20,3.05,2.11
1994-04-04 16:40,5.47,2.37
1994-06-02 14:00,13.61,6.81
1994-08-18 17:30,23.21,0.24
1994-10-07 16:50,20.72,3.03
1994-12-21 13:28,10.23,4.59
1995-02-07 13:42,3.96,1.98
1995-04-15 15:13,7.1,7.48
1995-06-01 13:21,14.35,3.63
1995-08-10 15:35,26,5.58
1995-10-07 13:20,19.87,
1995-12-20 11:10,8.09,1.78
1996-02-07 16:05,2.45,2.05
1996-04-04 14:10,4.25,
1996-06-04 19:30,11.18,4.54
1996-08-05 19:00,20.66,7.36
1996-10-07 17:45,20.68,2.05
1996-12-13 3:45,9.31,7.71
1997-02-13 13:45,2.85,3.96
1997-04-07 20:50,5.39,9.99
1997-06-11 16:43,13.72,4.21
1997-08-11 20:15,22.16,1.61
1997-10-09 12:30,19.86,2.09
1997-12-16 14:10,9.35,4.02
1998-02-24 7:50,3.96,9.12
1998-04-11 9:45,6.66,7.02
1998-06-08 18:25,12.98,6.29
1998-08-04 9:30,21.51,3.95
1998-10-16 13:15,20.29,2.21
1998-12-04 13:05,12.29,8.44
1999-02-04 18:25,4.76,14.18
1999-04-07 13:25,5.67,10.29
1999-06-03 19:25,12.49,7.87
1999-08-11 16:50,21.24,4.61
1999-10-05 16:16,19.97,6
1999-12-28 3:33,7.55,15.21
2000-02-22 14:50,2.79,12.69
2000-04-29 4:55,7.88,9.72
2000-06-07 18:50,12.48,2.89
2000-08-07 18:50,22.22,5.07
2000-10-05 9:37,19.61,4.41
2000-12-09 9:26,10.37,11.06
2001-02-14 10:15,2.97,
2001-04-09 16:45,5.06,6.31
2001-06-06 13:47,13.39,4.71
2001-08-03 10:30,21.17,3.36
2001-10-13 9:10,19.66,1.12
2001-12-28 3:53,7.62,13.16
2002-02-01 9:20,3.96,13.05
2002-04-10 10:55,6.99,15.26
2002-06-03 14:15,13.16,16.75
2002-08-09 8:07,20.58,5.17
2002-10-09 10:15,20.12,
2003-01-01 2:03,6.49,8.87
2003-02-06 10:50,2.75,10.56
2003-04-10 11:05,7.16,10.45
2003-06-15 12:55,13.58,7.25
2003-08-05 13:25,19.27,8.66
2003-10-31 18:45,16.21,
2003-12-22 20:50,9.12,11.19
2004-02-11 10:10,3.27,11.93
2004-04-18 8:25,6.97,10.39
2004-06-11 9:35,12.92,6.26
2004-08-05 10:30,19.94,6.49
2004-10-15 13:25,19.36,3.56
2004-12-18 7:43,10.78,7.11
2005-02-17 12:55,2.89,16.13
2005-04-13 16:38,5.49,16.86
2005-06-09 10:30,12.4,6.49
2005-08-05 9:15,19.53,4.14
2005-10-09 13:55,20.49,10.68
2006-01-01 11:30,5.38,20.74
2006-02-11 9:20,2.53,31.16
2006-04-14 10:20,5.75,19.06
2006-06-13 9:10,12.3,11.59
2006-08-09 9:45,20.16,14.01
2006-10-12 10:30,20.21,18.04
2006-12-14 13:30,11.08,3.84
2007-02-04 18:30,5.39,20.241
2007-04-06 9:05,6.4,14.5644
2007-06-11 16:15,14.13,12.5808
2007-08-13 9:25,21.5,6.7265
2007-10-04 17:00,21.66,7.8445
2007-12-09 8:45,11.04,15.4869
2008-02-17 8:42,2.57,19.5997
2008-04-11 8:45,6.16,12.6812
2008-07-11 4:20,17.199,3.6102
2008-08-26 17:05,22.884,3.9924
2008-10-22 9:50,19.231,5.4139
2008-12-28 7:00,8.19,15.4538
2009-03-04 13:50,4.058,15.8149
2009-04-28 11:45,8.054,13.2686
2009-07-03 9:00,17.34,13.2686
2009-09-05 4:45,22.692,3.4654
2009-10-30 9:15,19.037,8.264
2010-01-09 8:10,4.896,14.9798
2010-02-24 4:00,2.662,17.0109
2010-04-23 14:58,6.4663,13.6726
2010-06-18 7:30,12.92,8.2007
2010-08-22 8:50,23.091,2.8063
2010-10-01 12:40,22.362,5.1276
2010-11-29 13:40,11.682,4.9463
2011-02-15 10:18,1.3282,16.0107
2011-04-11 19:26,4.843,12.1876
2011-07-01 11:05,14.9564,6.814
2011-09-05 3:13,22.6,5.584
2011-10-07 8:48,19.7233,4.275
2011-12-06 15:45,12.66,3.924
2012-02-04 16:20,3.1858,13.3619
2012-04-07 8:20,4.3052,9.0084
2012-06-06 10:41,11.721,9.6171
2012-08-10 18:15,21.8698,1.5409
2012-10-06 14:20,21.5773,5.3968
2012-12-12 10:36,9.0611,13.928
2013-03-04 5:40,2.3021,23.1
2013-04-04 18:20,4.9194,18.197
2013-06-07 18:20,11.5838,6.5001
2013-08-13 12:05,23.7395,0.8069
2013-10-09 12:56,19.2396,5.3573
2013-12-05 8:55,10.2873,15.3794
2014-02-05 14:50,3.8649,20.7265
2014-04-01 13:48,6.0329,11.7314
2014-06-05 12:00,13.0232,6.6997
2014-08-07 15:59,20.1972,5.6433
2014-10-11 9:30,20.3028,13.252
2014-12-09 12:40,11.0337,14.0839
2015-02-03 17:20,3.9984,14.08
2015-04-04 14:22,5.7751,18.99
2015-06-11 13:00,13.6828,2.94
2015-08-06 15:30,21.3472,4.77
2015-10-05 18:40,21.7144,14
2015-12-06 10:45,12.7996,3.43
2016-02-17 13:30,3.5,7.9712
2016-04-05 16:10,5.6549,13.3062
2016-06-08 11:00,13.607,3.883
2016-08-05 10:35,21.461,4.4656
2016-10-07 8:40,21.489,1.1379
2016-12-02 11:00,12.4546,10.5541
2017-02-03 11:33,4.2751,11.226
2017-04-06 12:40,5.792,20.742
2017-06-04 13:25,13.3677,4.57
2017-08-11 10:50,22.4632,5.014
2017-10-13 10:45,18.9664,1.75
2017-12-28 11:12,6.3506,12.92
2018-02-01 9:30,2.0603,13.63
2018-04-04 10:40,3.7714,6.616
2018-06-06 12:17,12.181,4.593
2018-08-02 20:40,20.4492,4.824
2018-10-12 8:30,20.0597,4.763
2018-12-02 14:30,13.2738,10.239
2019-03-05 14:30,3.9963,12.719847
2019-04-03 6:55,5.754,11.878145
2019-06-05 13:15,13.4019,6.665825
2019-08-26 10:25,23.6547,1.201143
2019-10-06 14:00,21.4445,3.164896
2019-12-26 10:18,9.5475,12.890523
2020-02-06 10:31,5.9787,13.293557
2020-04-06 17:35,7.4008,12.782882
2020-06-03 15:50,13.0528,1.637951
2020-08-31 16:05,23.3516,1.838895
2020-10-06 16:11,20.5534,1.085476
2020-12-02 11:22,12.4655,11.125855
2021-02-11 12:20,3.6129,16.084271
2021-04-06 10:25,6.5592,8.226028
2021-06-01 15:35,12.5952,6.2932
2021-07-31 16:28,22.0887,2.001632
2021-10-13 8:10,22.4459,6.235333
2021-12-04 13:40,12.5886,12.561504
