YEAR,1,2,3,4,5,6,7,8,9,10,11,12,TK
1951,,,,,,,,1,1,1,,,3
1952,,,,,,1,1,2,,,,,4
1953,,,,,1,1,,1,,,,,3
1954,,,,,,,,1,2,,,,3
1955,,,,,,,2,,1,,,,3
1956,,,,,,,,2,2,,,,4
1957,,,,,,1,,1,,,,,2
1958,,,,,,,,1,,,,,1
1959,,,,,,,2,2,3,,,,7
1960,,,,,,,1,2,,,,,3
1961,,,,,1,1,1,,2,,,,5
1962,,,,,,,2,2,,,,,4
1963,,,,,,2,1,,,,,,3
1964,,,,,,,4,,,,,,4
1965,,,,,,,2,1,,,,,3
1966,,,,,,,,3,,,,,3
1967,,,,,,,1,,,,,,1
1968,,,,,,,1,1,1,,,,3
1969,,,,,,,,,1,,,,1
1970,,,,,,1,1,2,,,,,4
1971,,,,,,,1,1,1,,,,3
1972,,,,,,,2,1,1,,,,4
1973,,,,,,,2,1,,,,,3
1974,,,,,,1,1,1,,,,,3
1975,,,,,,,1,1,,,,,2
1976,,,,,,,3,2,1,,,,6
1977,,,,,,,,1,1,,,,2
1978,,,,,,1,1,1,1,,,,4
1979,,,,,,,,2,,,,,2
1980,,,,,,,1,1,1,,,,3
1981,,,,,,2,1,1,1,,,,5
1982,,,,,,,1,2,1,,,,4
1983,,,,,,,,,1,,,,1
1984,,,,,,,1,2,,,,,3
1985,,,,,,1,,3,1,,,,5
1986,,,,,,1,,1,1,,,,3
1987,,,,,,,2,1,,,,,3
1988,,,,,,,,,,,,,0
1989,,,,,,1,1,,,,,,2
1990,,,,,,1,1,1,1,,,,4
1991,,,,,,,1,2,2,,,,5
1992,,,,,,,,1,1,,,,2
1993,,,,,,,2,2,,,,,4
1994,,,,,,,2,2,,1,,,5
1995,,,,,,,1,1,1,,,,3
1996,,,,,,,1,1,,,,,2
1997,,,,,,1,2,,1,,,,4
1998,,,,,,,,,1,1,,,2
1999,,,,,,,2,1,2,,,,5
2000,,,,,,,2,2,1,,,,5
2001,,,,,,,,1,,,,,1
2002,,,,,,1,2,1,,,,,4
2003,,,,,1,1,,1,1,,,,4
2004,,,,,,1,1,3,,,,,5
2005,,,,,,,,1,,,,,1
2006,,,,,,,1,1,1,,,,3
2007,,,,,,,2,,1,,,,3
2008,,,,,,,1,,,,,,1
2009,,,,,,,,,,,,,0
2010,,,,,,,,2,1,,,,3
2011,,,,,,1,1,1,,,,,3
2012,,,,,,,2,2,1,,,,5
2013,,,,,,1,,1,,1,,,3
2014,,,,,,,3,,,1,,,4
2015,,,,,,1,2,1,,,,,4
2016,,,,,,,,,2,,,,2
2017,,,,,,,2,,1,,,,3
2018,,,,,,1,,2,2,,,,5
2019,,,,,,,1,3,3,,,,7
2020,,,,,,,,3,1,,,,4
2021,,,,,,,,2,1,,,,3
2022,,,,,,,3,1,1,,,,5
